,Method,beta1,beta2,beta3,beta4,beta5,beta6,MSE,runtime
0,Linreg,6.1249091034233505,-0.0018746667509996762,-1.6501602853061779,-0.11720840092565865,-12.022862543007406,0.027118480867739825,27914400.41868661,0.4800879955291748
1,Ridge,6.125189150097038,-0.001856786369476282,-1.6493081954218702,-0.11644464331031301,-12.023024051505274,0.027248866925475568,27913824.145588618,0.6031091213226318
2,LASSO,6.032212043016596,-0.024099253617027805,-1.4556855189791396,-0.0,-11.87226866969992,-0.0,27699155.400395922,5.2622106075286865
3,Gibbs,6.12506671088534,-0.0025503557493831088,-1.6509629554391718,-0.11738146464088758,-12.022238352556506,0.02674591865130809,27914001.106613036,3162.1282749176025
